,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
bhmm::e_mu_obs[87],2.560747455718685,0.2602307272146917,2.1617536756737956,2.9937196210042765,7141.050489339002,6069.808001873017,1.000060800275038,0.0030831389758993323,0.0029423380100384216
bhmm::e_mu_obs[88],2.4969101288877984,0.2583890803912485,2.1014689929955424,2.928877468468249,7104.17645909665,6049.873309960432,1.0000584256368004,0.003068696045341442,0.0029068034327874807
bhmm::e_mu_obs[89],2.4328370471889214,0.25641482321632303,2.0406066075290816,2.864641773444272,7070.387371779236,5928.747734256018,1.0000573815094163,0.003051837851256416,0.002872037961647113
bhmm::e_mu_obs[90],2.368682355466707,0.25429651335516795,1.9800557627132098,2.7944394791011895,7051.646054142732,5715.374352236402,1.000057529744163,0.003032494892381579,0.0028380221570266126
bhmm::e_mu_obs[91],2.304591624944269,0.25202568934331715,1.9177192255286135,2.7252254949109287,7028.24418103757,5846.016058090867,1.0000575804610894,0.003010631468624707,0.002804689355945391
bhmm::e_mu_obs[92],2.2407016205044363,0.24959668476366836,1.8581040086621698,2.657547431751429,7003.947436036317,5932.369207096961,1.000056495763039,0.0029862426415868683,0.0027719370402772376
bhmm::e_mu_obs[93],2.177140178716544,0.24700645491466486,1.798114882324038,2.589111460213691,6998.405808878462,5983.274202937049,1.0000528678166747,0.002959351526540228,0.002739638124492965
bhmm::e_mu_obs[94],2.1140261547341415,0.2442543566821774,1.7383958148018728,2.520815701851735,6982.676855054477,6005.026797945441,1.0000522775916647,0.0029300061824340646,0.002707650778785209
bhmm::e_mu_obs[95],2.0514694416929773,0.2413419075494445,1.680308901987981,2.453581674750505,6959.066575036919,5863.703527295139,1.0000578311671433,0.0028982766281492652,0.002675827349974146
bhmm::e_mu_obs[96],1.9895710609883674,0.23827254730329733,1.623410457461689,2.387049157180132,6967.792561219683,5841.168518797878,1.000056062059213,0.0028642518849562714,0.002644021546969203
bhmm::e_mu_obs[97],1.9284233065534422,0.2350513943230577,1.5690600349972819,2.3226217815128947,6973.688207760501,5738.276285227781,1.0000544954568862,0.0028280370174784755,0.0026120942919744578
bhmm::e_mu_obs[98],1.8681099295922876,0.23168500340929413,1.5143831059570283,2.256007649258611,6987.815085499022,5833.630890082577,1.0000514170126016,0.0027897504452221817,0.0025799180627826455
bhmm::e_mu_obs[99],1.808706385177111,0.22818113713312801,1.4625705950395613,2.192443690082236,6992.304159212622,5686.641934231759,1.000064466649664,0.0027484971068015905,0.0025504915914831144
bhmm::e_mu_obs[100],1.7502801046705256,0.22454854783458267,1.4089632424868064,2.129843101681248,7001.292368245985,5750.017890087447,1.0000474655882345,0.0027038675485527176,0.002522068063092433
bhmm::e_mu_obs[101],1.6928907908769397,0.22079677060633618,1.3575636377412539,2.064381961092642,7010.571244252382,5766.533460588722,1.0000593701959848,0.0026559234907454717,0.0024926377145696684
bhmm::e_mu_obs[102],1.636590754635511,0.21693593663326088,1.3077207191718792,2.001667168873612,7025.318954876261,5933.570956679811,1.000067389944446,0.0026068466615753925,0.0024621638077602956
